Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
tumor,mice,18033,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,11,GVRI,Pengli,20200831-16s,,time1,X18033,y,Fengyuan,,,,,,
tumor,mice,18101,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,11,GVRI,Pengli,20200831-16s,,time1,X18101,y,Fengyuan,,,,,,
tumor,mice,18100,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201906_200/30_mpk/mpk,CTX/GV009,NA/201906,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,12,GVRI,Pengli,20200831-16s,,time1,X18100,y,Fengyuan,,,,,,
tumor,mice,18112,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201906_200/30_mpk/mpk,CTX/GV009,NA/201906,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,12,GVRI,Pengli,20200831-16s,,time1,X18112,y,Fengyuan,,,,,,
tumor,mice,18042,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/3,,BALB/c,1,GVRI,Pengli,20200831-16s,CTX P0,time1,X18042,y,Fengyuan,,,,,,
tumor,mice,18053,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/3,,BALB/c,1,GVRI,Pengli,20200831-16s,CTX P0,time1,X18053,y,Fengyuan,,,,,,
tumor,mice,18081,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/3,,BALB/c,1,GVRI,Pengli,20200831-16s,CTX P0,time1,X18081,y,Fengyuan,,,,,,
tumor,mice,18091,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/3,,BALB/c,1,GVRI,Pengli,20200831-16s,CTX P0,time1,X18091,y,Fengyuan,,,,,,
tumor,mice,18114,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/3,,BALB/c,1,GVRI,Pengli,20200831-16s,CTX P0,time1,X18114,y,Fengyuan,,,,,,
tumor,mice,18144,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/3,,BALB/c,1,GVRI,Pengli,20200831-16s,CTX P0,time1,X18144,y,Fengyuan,,,,,,
tumor,mice,18024,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/4,,BALB/c,2,GVRI,Pengli,20200831-16s,CTX P1,time1,X18024,y,Fengyuan,,,,,,
tumor,mice,18030,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/4,,BALB/c,2,GVRI,Pengli,20200831-16s,CTX P1,time1,X18030,y,Fengyuan,,,,,,
tumor,mice,18069,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/4,,BALB/c,2,GVRI,Pengli,20200831-16s,CTX P1,time1,X18069,y,Fengyuan,,,,,,
tumor,mice,18098,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/4,,BALB/c,2,GVRI,Pengli,20200831-16s,CTX P1,time1,X18098,y,Fengyuan,,,,,,
tumor,mice,18133,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/4,,BALB/c,2,GVRI,Pengli,20200831-16s,CTX P1,time1,X18133,y,Fengyuan,,,,,,
tumor,mice,18138,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/4,,BALB/c,2,GVRI,Pengli,20200831-16s,CTX P1,time1,X18138,y,Fengyuan,,,,,,
tumor,mice,18028,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/6,,BALB/c,3,GVRI,Pengli,20200831-16s,CTX P3,time1,X18028,y,Fengyuan,,,,,,
tumor,mice,18032,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/6,,BALB/c,3,GVRI,Pengli,20200831-16s,CTX P3,time1,X18032,y,Fengyuan,,,,,,
tumor,mice,18038,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/6,,BALB/c,3,GVRI,Pengli,20200831-16s,CTX P3,time1,X18038,y,Fengyuan,,,,,,
tumor,mice,18055,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/6,,BALB/c,3,GVRI,Pengli,20200831-16s,CTX P3,time1,X18055,y,Fengyuan,,,,,,
tumor,mice,18090,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/6,,BALB/c,3,GVRI,Pengli,20200831-16s,CTX P3,time1,X18090,y,Fengyuan,,,,,,
tumor,mice,18108,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/6,,BALB/c,3,GVRI,Pengli,20200831-16s,CTX P3,time1,X18108,y,Fengyuan,,,,,,
tumor,mice,18064,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/10,,BALB/c,4,GVRI,Pengli,20200831-16s,CTX P7,time1,X18064,y,Fengyuan,,,,,,
tumor,mice,18132,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/10,,BALB/c,4,GVRI,Pengli,20200831-16s,CTX P7,time1,X18132,y,Fengyuan,,,,,,
tumor,mice,18097,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/10,,BALB/c,4,GVRI,Pengli,20200831-16s,CTX P7,time1,X18097,y,Fengyuan,,,,,,
tumor,mice,18045,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/10,,BALB/c,4,GVRI,Pengli,20200831-16s,CTX P7,time1,X18045,y,Fengyuan,,,,,,
tumor,mice,18095,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/10,,BALB/c,4,GVRI,Pengli,20200831-16s,CTX P7,time1,X18095,y,Fengyuan,,,,,,
tumor,mice,18120,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/10,,BALB/c,4,GVRI,Pengli,20200831-16s,CTX P7,time1,X18120,y,Fengyuan,,,,,,
,mice,D2072012,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072012,y,Fengyuan,,,,,,
,mice,D2072013,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072013,y,Fengyuan,,,,,,
,mice,D2072014,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072014,y,Fengyuan,,,,,,
,mice,D2072015,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072015,y,Fengyuan,,,,,,
,mice,D2072016,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072016,y,Fengyuan,,,,,,
,mice,D2072017,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072017,y,Fengyuan,,,,,,
,mice,D2072018,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072018,y,Fengyuan,,,,,,
,mice,D2072019,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072019,y,Fengyuan,,,,,,
,mice,D2072020,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072020,y,Fengyuan,,,,,,
,mice,D2072021,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072021,y,Fengyuan,,,,,,
,mice,D2072022,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072022,y,Fengyuan,,,,,,
,mice,D2072023,SZ-NLL-2020-002,,C_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072023,y,Fengyuan,,,,,,
,mice,D2072032,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072032,y,Fengyuan,,,,,,
,mice,D2072033,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072033,y,Fengyuan,,,,,,
,mice,D2072034,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072034,y,Fengyuan,,,,,,
,mice,D2072035,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072035,y,Fengyuan,,,,,,
,mice,D2072036,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072036,y,Fengyuan,,,,,,
,mice,D2072037,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072037,y,Fengyuan,,,,,,
,mice,D2072038,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072038,y,Fengyuan,,,,,,
,mice,D2072039,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072039,y,Fengyuan,,,,,,
,mice,D2072040,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072040,y,Fengyuan,,,,,,
,mice,D2072041,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072041,y,Fengyuan,,,,,,
,mice,D2072042,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072042,y,Fengyuan,,,,,,
,mice,D2072043,SZ-NLL-2020-002,,US_D20,,,,,,,,,2020/7/20,,,,,,20200831-16s,,,D2072043,y,Fengyuan,,,,,,
,mice,D3073012,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073012,y,Fengyuan,,,,,,
,mice,D3073013,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073013,y,Fengyuan,,,,,,
,mice,D3073014,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073014,y,Fengyuan,,,,,,
,mice,D3073015,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073015,y,Fengyuan,,,,,,
,mice,D3073016,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073016,y,Fengyuan,,,,,,
,mice,D3073017,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073017,y,Fengyuan,,,,,,
,mice,D3073018,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073018,y,Fengyuan,,,,,,
,mice,D3073019,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073019,y,Fengyuan,,,,,,
,mice,D3073020,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073020,y,Fengyuan,,,,,,
,mice,D3073021,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073021,y,Fengyuan,,,,,,
,mice,D3073022,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073022,y,Fengyuan,,,,,,
,mice,D3073023,SZ-NLL-2020-002,,C_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073023,y,Fengyuan,,,,,,
,mice,D3073032,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073032,y,Fengyuan,,,,,,
,mice,D3073033,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073033,y,Fengyuan,,,,,,
,mice,D3073034,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073034,y,Fengyuan,,,,,,
,mice,D3073035,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073035,y,Fengyuan,,,,,,
,mice,D3073036,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073036,y,Fengyuan,,,,,,
,mice,D3073037,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073037,y,Fengyuan,,,,,,
,mice,D3073038,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073038,y,Fengyuan,,,,,,
,mice,D3073039,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073039,y,Fengyuan,,,,,,
,mice,D3073040,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073040,y,Fengyuan,,,,,,
,mice,D3073041,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073041,y,Fengyuan,,,,,,
,mice,D3073042,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073042,y,Fengyuan,,,,,,
,mice,D3073043,SZ-NLL-2020-002,,US_D30,,,,,,,,,2020/7/30,,,,,,20200831-16s,,,D3073043,y,Fengyuan,,,,,,
tumor,mice,18047-B,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/8/5,,BALB/c,9,GVRI,Pengli,20200831-16s,,time2,X18047_B,y,Fengyuan,,,,,,
tumor,mice,18068-B,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/8/5,,BALB/c,9,GVRI,Pengli,20200831-16s,,time2,X18068_B,y,Fengyuan,,,,,,
tumor,mice,18072-B,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/8/5,,BALB/c,9,GVRI,Pengli,20200831-16s,,time2,X18072_B,y,Fengyuan,,,,,,
tumor,mice,18074-B,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/8/5,,BALB/c,9,GVRI,Pengli,20200831-16s,,time2,X18074_B,y,Fengyuan,,,,,,
tumor,mice,18092-B,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/8/5,,BALB/c,9,GVRI,Pengli,20200831-16s,,time2,X18092_B,y,Fengyuan,,,,,,
tumor,mice,18130-B,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/8/5,,BALB/c,9,GVRI,Pengli,20200831-16s,,time2,X18130_B,y,Fengyuan,,,,,,
tumor,mice,18062-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,10,GVRI,Pengli,20200831-16s,,time2,X18062_B,y,Fengyuan,,,,,,
tumor,mice,18070-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,10,GVRI,Pengli,20200831-16s,,time2,X18070_B,y,Fengyuan,,,,,,
tumor,mice,18076-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,10,GVRI,Pengli,20200831-16s,,time2,X18076_B,y,Fengyuan,,,,,,
tumor,mice,18077-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,10,GVRI,Pengli,20200831-16s,,time2,X18077_B,y,Fengyuan,,,,,,
tumor,mice,18088-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,10,GVRI,Pengli,20200831-16s,,time2,X18088_B,y,Fengyuan,,,,,,
tumor,mice,18122-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,10,GVRI,Pengli,20200831-16s,,time2,X18122_B,y,Fengyuan,,,,,,
tumor,mice,18109-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,11,GVRI,Pengli,20200831-16s,,time2,X18109_B,y,Fengyuan,,,,,,
tumor,mice,18027-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,11,GVRI,Pengli,20200831-16s,,time2,X18027_B,y,Fengyuan,,,,,,
tumor,mice,18033-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,11,GVRI,Pengli,20200831-16s,,time2,X18033_B,y,Fengyuan,,,,,,
tumor,mice,18049-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,11,GVRI,Pengli,20200831-16s,,time2,X18049_B,y,Fengyuan,,,,,,
tumor,mice,18101-B,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/8/5,,BALB/c,11,GVRI,Pengli,20200831-16s,,time2,X18101_B,y,Fengyuan,,,,,,
