Project_category,Species,SampleID,Project,Model,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch,Comment,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
tumor,mice,E2609-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2609_A,,,,,,,,
tumor,mice,E2610-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2610_A,,,,,,,,
tumor,mice,E2626-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2626_A,,,,,,,,
tumor,mice,E2627-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2627_A,,,,,,,,
tumor,mice,E2629-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2629_A,,,,,,,,
tumor,mice,E2630-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2630_A,,,,,,,,
tumor,mice,E2576-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2576_A,,,,,,,,
tumor,mice,E2577-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2577_A,,,,,,,,
tumor,mice,E2578-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2578_A,,,,,,,,
tumor,mice,E2579-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2579_A,,,,,,,,
tumor,mice,E2580-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2580_A,,,,,,,,
tumor,mice,E2598-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2598_A,,,,,,,,
tumor,mice,E2628-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2628_A,,,,,,,,
tumor,mice,E2636-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2636_A,,,,,,,,
tumor,mice,E2657-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2657_A,,,,,,,,
tumor,mice,E2621-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2621_A,,,,,,,,
tumor,mice,E2622-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2622_A,,,,,,,,
tumor,mice,E2623-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2623_A,,,,,,,,
tumor,mice,E2624-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2624_A,,,,,,,,
tumor,mice,E2625-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2625_A,,,,,,,,
tumor,mice,E2632-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2632_A,,,,,,,,
tumor,mice,E2633-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2633_A,,,,,,,,
tumor,mice,E2634-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2634_A,,,,,,,,
tumor,mice,E2635-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2635_A,,,,,,,,
tumor,mice,E2586-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,12,Linchang,Pengli,20200820-16s,,E2586_A,,,,,,,,
tumor,mice,E2587-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,12,Linchang,Pengli,20200820-16s,,E2587_A,,,,,,,,
tumor,mice,E2588-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,12,Linchang,Pengli,20200820-16s,,E2588_A,,,,,,,,
tumor,mice,E2589-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,12,Linchang,Pengli,20200820-16s,,E2589_A,,,,,,,,
tumor,mice,E2590-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,12,Linchang,Pengli,20200820-16s,,E2590_A,,,,,,,,
tumor,mice,E2651-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,11,Linchang,Pengli,20200820-16s,,E2651_A,,,,,,,,
tumor,mice,E2652-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,11,Linchang,Pengli,20200820-16s,,E2652_A,,,,,,,,
tumor,mice,E2654-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,11,Linchang,Pengli,20200820-16s,,E2654_A,,,,,,,,
tumor,mice,E2655-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,11,Linchang,Pengli,20200820-16s,,E2655_A,,,,,,,,
tumor,mice,E2611-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,13,Linchang,Pengli,20200820-16s,,E2611_A,,,,,,,,
tumor,mice,E2612-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,13,Linchang,Pengli,20200820-16s,,E2612_A,,,,,,,,
tumor,mice,E2613-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,13,Linchang,Pengli,20200820-16s,,E2613_A,,,,,,,,
tumor,mice,E2614-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,13,Linchang,Pengli,20200820-16s,,E2614_A,,,,,,,,
tumor,mice,E2646-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,14,Linchang,Pengli,20200820-16s,,E2646_A,,,,,,,,
tumor,mice,E2647-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,14,Linchang,Pengli,20200820-16s,,E2647_A,,,,,,,,
tumor,mice,E2649-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,14,Linchang,Pengli,20200820-16s,,E2649_A,,,,,,,,
tumor,mice,E2650-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,14,Linchang,Pengli,20200820-16s,,E2650_A,,,,,,,,
tumor,mice,E2581-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,15,Linchang,Pengli,20200820-16s,,E2581_A,,,,,,,,
tumor,mice,E2582-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,15,Linchang,Pengli,20200820-16s,,E2582_A,,,,,,,,
tumor,mice,E2583-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,15,Linchang,Pengli,20200820-16s,,E2583_A,,,,,,,,
tumor,mice,E2584-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,15,Linchang,Pengli,20200820-16s,,E2584_A,,,,,,,,
tumor,mice,E2594-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,16,Linchang,Pengli,20200820-16s,,E2594_A,,,,,,,,
tumor,mice,E2642-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,16,Linchang,Pengli,20200820-16s,,E2642_A,,,,,,,,
tumor,mice,E2648-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,16,Linchang,Pengli,20200820-16s,,E2648_A,,,,,,,,
tumor,mice,E2653-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,16,Linchang,Pengli,20200820-16s,,E2653_A,,,,,,,,
tumor,mice,E2571-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,17,Linchang,Pengli,20200820-16s,,E2571_A,,,,,,,,
tumor,mice,E2572-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,17,Linchang,Pengli,20200820-16s,,E2572_A,,,,,,,,
tumor,mice,E2574-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,17,Linchang,Pengli,20200820-16s,,E2574_A,,,,,,,,
tumor,mice,E2575-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,17,Linchang,Pengli,20200820-16s,,E2575_A,,,,,,,,
tumor,mice,E2591-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,18,Linchang,Pengli,20200820-16s,,E2591_A,,,,,,,,
tumor,mice,E2592-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,18,Linchang,Pengli,20200820-16s,,E2592_A,,,,,,,,
tumor,mice,E2593-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,18,Linchang,Pengli,20200820-16s,,E2593_A,,,,,,,,
tumor,mice,E2595-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,18,Linchang,Pengli,20200820-16s,,E2595_A,,,,,,,,
tumor,mice,E2601-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,19,Linchang,Pengli,20200820-16s,,E2601_A,,,,,,,,
tumor,mice,E2602-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,19,Linchang,Pengli,20200820-16s,,E2602_A,,,,,,,,
tumor,mice,E2603-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,19,Linchang,Pengli,20200820-16s,,E2603_A,,,,,,,,
tumor,mice,E2605-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,19,Linchang,Pengli,20200820-16s,,E2605_A,,,,,,,,
tumor,mice,E2641-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,20,Linchang,Pengli,20200820-16s,,E2641_A,,,,,,,,
tumor,mice,E2643-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,20,Linchang,Pengli,20200820-16s,,E2643_A,,,,,,,,
tumor,mice,E2644-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,20,Linchang,Pengli,20200820-16s,,E2644_A,,,,,,,,
tumor,mice,E2645-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,20,Linchang,Pengli,20200820-16s,,E2645_A,,,,,,,,
tumor,mice,E2561-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,21,Linchang,Pengli,20200820-16s,,E2561_A,,,,,,,,
tumor,mice,E2563-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,21,Linchang,Pengli,20200820-16s,,E2563_A,,,,,,,,
tumor,mice,E2564-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,21,Linchang,Pengli,20200820-16s,,E2564_A,,,,,,,,
tumor,mice,E2565-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,21,Linchang,Pengli,20200820-16s,,E2565_A,,,,,,,,
tumor,mice,E2596-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,22,Linchang,Pengli,20200820-16s,,E2596_A,,,,,,,,
tumor,mice,E2597-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,22,Linchang,Pengli,20200820-16s,,E2597_A,,,,,,,,
tumor,mice,E2599-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,22,Linchang,Pengli,20200820-16s,,E2599_A,,,,,,,,
tumor,mice,E2600-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,22,Linchang,Pengli,20200820-16s,,E2600_A,,,,,,,,
tumor,mice,E2556-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,24,Linchang,Pengli,20200820-16s,,E2556_A,,,,,,,,
tumor,mice,E2557-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,24,Linchang,Pengli,20200820-16s,,E2557_A,,,,,,,,
tumor,mice,E2558-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,24,Linchang,Pengli,20200820-16s,,E2558_A,,,,,,,,
tumor,mice,E2559-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,23,Linchang,Pengli,20200820-16s,,E2559_A,,,,,,,,
tumor,mice,E2560-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,24,Linchang,Pengli,20200820-16s,,E2560_A,,,,,,,,
tumor,mice,E2562-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,23,Linchang,Pengli,20200820-16s,,E2562_A,,,,,,,,
tumor,mice,E2566-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,23,Linchang,Pengli,20200820-16s,,E2566_A,,,,,,,,
tumor,mice,E2631-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,23,Linchang,Pengli,20200820-16s,,E2631_A,,,,,,,,
tumor,mice,E2567-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,25,Linchang,Pengli,20200820-16s,,E2567_A,,,,,,,,
tumor,mice,E2568-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,25,Linchang,Pengli,20200820-16s,,E2568_A,,,,,,,,
tumor,mice,E2569-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,25,Linchang,Pengli,20200820-16s,,E2569_A,,,,,,,,
tumor,mice,E2570-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,25,Linchang,Pengli,20200820-16s,,E2570_A,,,,,,,,
tumor,mice,E2573-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,26,Linchang,Pengli,20200820-16s,,E2573_A,,,,,,,,
tumor,mice,E2585-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,26,Linchang,Pengli,20200820-16s,,E2585_A,,,,,,,,
tumor,mice,E2604-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,26,Linchang,Pengli,20200820-16s,,E2604_A,,,,,,,,
tumor,mice,E2615-A,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/6/30,5,BALB/c,26,Linchang,Pengli,20200820-16s,,E2615_A,,,,,,,,
tumor,mice,E2656-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2656_B,,,,,,,,
tumor,mice,E2658-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2658_B,,,,,,,,
tumor,mice,E2659-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2659_B,,,,,,,,
tumor,mice,E2660-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,1,Linchang,Pengli,20200820-16s,,E2660_B,,,,,,,,
tumor,mice,E2551-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2551_B,,,,,,,,
tumor,mice,E2552-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2552_B,,,,,,,,
tumor,mice,E2553-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2553_B,,,,,,,,
tumor,mice,E2554-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2554_B,,,,,,,,
tumor,mice,E2555-B,ONC-2020-024,SP20,Vehicle,,0,,F,,2020/7/17,5,BALB/c,2,Linchang,Pengli,20200820-16s,,E2555_B,,,,,,,,
tumor,mice,E2616-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2616_B,,,,,,,,
tumor,mice,E2617-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2617_B,,,,,,,,
tumor,mice,E2618-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2618_B,,,,,,,,
tumor,mice,E2619-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,3,Linchang,Pengli,20200820-16s,,E2619_B,,,,,,,,
tumor,mice,E2620-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2620_B,,,,,,,,
tumor,mice,E2637-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2637_B,,,,,,,,
tumor,mice,E2638-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2638_B,,,,,,,,
tumor,mice,E2639-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2639_B,,,,,,,,
tumor,mice,E2640-B,ONC-2020-024,SP20,GV009,201902,30,mpk,F,,2020/7/17,5,BALB/c,4,Linchang,Pengli,20200820-16s,,E2640_B,,,,,,,,
tumor,mice,E2626-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2626_B,,,,,,,,
tumor,mice,E2627-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2627_B,,,,,,,,
tumor,mice,E2629-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2629_B,,,,,,,,
tumor,mice,E2630-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,5,Linchang,Pengli,20200820-16s,,E2630_B,,,,,,,,
tumor,mice,E2606-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2606_B,,,,,,,,
tumor,mice,E2607-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2607_B,,,,,,,,
tumor,mice,E2608-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2608_B,,,,,,,,
tumor,mice,E2609-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2609_B,,,,,,,,
tumor,mice,E2610-B,ONC-2020-024,SP20,GV009,201902,60,mpk,F,,2020/7/17,5,BALB/c,6,Linchang,Pengli,20200820-16s,,E2610_B,,,,,,,,
tumor,mice,E2636-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2636_B,,,,,,,,
tumor,mice,E2628-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2628_B,,,,,,,,
tumor,mice,E2598-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2598_B,,,,,,,,
tumor,mice,E2657-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,7,Linchang,Pengli,20200820-16s,,E2657_B,,,,,,,,
tumor,mice,E2576-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2576_B,,,,,,,,
tumor,mice,E2577-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2577_B,,,,,,,,
tumor,mice,E2578-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2578_B,,,,,,,,
tumor,mice,E2579-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2579_B,,,,,,,,
tumor,mice,E2580-B,ONC-2020-024,SP20,GV009,201902,120,mpk,F,,2020/7/17,5,BALB/c,8,Linchang,Pengli,20200820-16s,,E2580_B,,,,,,,,
tumor,mice,E2621-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2621_B,,,,,,,,
tumor,mice,E2622-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2622_B,,,,,,,,
tumor,mice,E2623-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2623_B,,,,,,,,
tumor,mice,E2624-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,9,Linchang,Pengli,20200820-16s,,E2624_B,,,,,,,,
tumor,mice,E2625-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2625_B,,,,,,,,
tumor,mice,E2632-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2632_B,,,,,,,,
tumor,mice,E2633-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2633_B,,,,,,,,
tumor,mice,E2634-B,ONC-2020-024,SP20,GV009,201902,240,mpk,F,,2020/7/17,5,BALB/c,10,Linchang,Pengli,20200820-16s,,E2634_B,,,,,,,,
