Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab
tumor,mice,E3239-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,7,Linchang,Pengli,20200929-16S,给药前,time2,E3239_B,y,Fengyuan
tumor,mice,E3240-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,7,Linchang,Pengli,20200929-16S,给药前,time2,E3240_B,y,Fengyuan
tumor,mice,E3222-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,7,Linchang,Pengli,20200929-16S,给药前,time2,E3222_B,y,Fengyuan
tumor,mice,E3241-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,8,Linchang,Pengli,20200929-16S,给药前,time2,E3241_B,y,Fengyuan
tumor,mice,E3242-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,8,Linchang,Pengli,20200929-16S,给药前,time2,E3242_B,y,Fengyuan
tumor,mice,E3243-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,8,Linchang,Pengli,20200929-16S,给药前,time2,E3243_B,y,Fengyuan
tumor,mice,E3244-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,8,Linchang,Pengli,20200929-16S,给药前,time2,E3244_B,y,Fengyuan
tumor,mice,E3245-B,ONC-2020-038,SP20,GV009201906120mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,8,Linchang,Pengli,20200929-16S,给药前,time2,E3245_B,y,Fengyuan
tumor,mice,E3251-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,9,Linchang,Pengli,20200929-16S,给药前,time2,E3251_B,y,Fengyuan
tumor,mice,E3252-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,9,Linchang,Pengli,20200929-16S,给药前,time2,E3252_B,y,Fengyuan
tumor,mice,E3253-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,9,Linchang,Pengli,20200929-16S,给药前,time2,E3253_B,y,Fengyuan
tumor,mice,E3254-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,9,Linchang,Pengli,20200929-16S,给药前,time2,E3254_B,y,Fengyuan
tumor,mice,E3255-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,9,Linchang,Pengli,20200929-16S,给药前,time2,E3255_B,y,Fengyuan
tumor,mice,E3256-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,9,Linchang,Pengli,20200929-16S,给药前,time2,E3256_B,y,Fengyuan
tumor,mice,E3201-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,10,Linchang,Pengli,20200929-16S,给药前,time2,E3201_B,y,Fengyuan
tumor,mice,E3202-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,10,Linchang,Pengli,20200929-16S,给药前,time2,E3202_B,y,Fengyuan
tumor,mice,E3203-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,10,Linchang,Pengli,20200929-16S,给药前,time2,E3203_B,y,Fengyuan
tumor,mice,E3204-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,10,Linchang,Pengli,20200929-16S,给药前,time2,E3204_B,y,Fengyuan
tumor,mice,E3205-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,10,Linchang,Pengli,20200929-16S,给药前,time2,E3205_B,y,Fengyuan
tumor,mice,E3223-B,ONC-2020-038,SP20,GV009201906240mpk,,,,,Female,,,5,2020/8/19,6300 ,BALB/c,10,Linchang,Pengli,20200929-16S,给药前,time2,E3223_B,y,Fengyuan
tumor,mice,E3211-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,1,Linchang,Pengli,20200929-16S,结束前,time3,E3211_C,y,Fengyuan
tumor,mice,E3212-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,1,Linchang,Pengli,20200929-16S,结束前,time3,E3212_C,y,Fengyuan
tumor,mice,E3213-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,1,Linchang,Pengli,20200929-16S,结束前,time3,E3213_C,y,Fengyuan
tumor,mice,E3214-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,1,Linchang,Pengli,20200929-16S,结束前,time3,E3214_C,y,Fengyuan
tumor,mice,E3215-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,1,Linchang,Pengli,20200929-16S,结束前,time3,E3215_C,y,Fengyuan
tumor,mice,E3221-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,1,Linchang,Pengli,20200929-16S,结束前,time3,E3221_C,y,Fengyuan
tumor,mice,E3226-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,2,Linchang,Pengli,20200929-16S,结束前,time3,E3226_C,y,Fengyuan
tumor,mice,E3227-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,2,Linchang,Pengli,20200929-16S,结束前,time3,E3227_C,y,Fengyuan
tumor,mice,E3228-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,2,Linchang,Pengli,20200929-16S,结束前,time3,E3228_C,y,Fengyuan
tumor,mice,E3229-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,2,Linchang,Pengli,20200929-16S,结束前,time3,E3229_C,y,Fengyuan
tumor,mice,E3230-C,ONC-2020-038,SP20,Vehicle,,,,,Female,,,5,2020/9/3,6302 ,BALB/c,2,Linchang,Pengli,20200929-16S,结束前,time3,E3230_C,y,Fengyuan
tumor,mice,E3246-C,ONC-2020-038,SP20,GV00920190630mpk,GV009,201906,30,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,4,Linchang,Pengli,20200929-16S,结束前,time3,E3246_C,y,Fengyuan
tumor,mice,E3248-C,ONC-2020-038,SP20,GV00920190630mpk,GV009,201906,30,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,4,Linchang,Pengli,20200929-16S,结束前,time3,E3248_C,y,Fengyuan
tumor,mice,E3232-C,ONC-2020-038,SP20,GV00920190660mpk,GV009,201906,60,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,6,Linchang,Pengli,20200929-16S,结束前,time3,E3232_C,y,Fengyuan
tumor,mice,E3233-C,ONC-2020-038,SP20,GV00920190660mpk,GV009,201906,60,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,6,Linchang,Pengli,20200929-16S,结束前,time3,E3233_C,y,Fengyuan
tumor,mice,E3237-C,ONC-2020-038,SP20,GV009201906120mpk,GV009,201906,120,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,7,Linchang,Pengli,20200929-16S,结束前,time3,E3237_C,y,Fengyuan
tumor,mice,E3239-C,ONC-2020-038,SP20,GV009201906120mpk,GV009,201906,120,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,7,Linchang,Pengli,20200929-16S,结束前,time3,E3239_C,y,Fengyuan
tumor,mice,E3241-C,ONC-2020-038,SP20,GV009201906120mpk,GV009,201906,120,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,8,Linchang,Pengli,20200929-16S,结束前,time3,E3241_C,y,Fengyuan
tumor,mice,E3251-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,9,Linchang,Pengli,20200929-16S,结束前,time3,E3251_C,y,Fengyuan
tumor,mice,E3252-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,9,Linchang,Pengli,20200929-16S,结束前,time3,E3252_C,y,Fengyuan
tumor,mice,E3253-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,9,Linchang,Pengli,20200929-16S,结束前,time3,E3253_C,y,Fengyuan
tumor,mice,E3254-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,9,Linchang,Pengli,20200929-16S,结束前,time3,E3254_C,y,Fengyuan
tumor,mice,E3255-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,9,Linchang,Pengli,20200929-16S,结束前,time3,E3255_C,y,Fengyuan
tumor,mice,E3256-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,9,Linchang,Pengli,20200929-16S,结束前,time3,E3256_C,y,Fengyuan
tumor,mice,E3201-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,10,Linchang,Pengli,20200929-16S,结束前,time3,E3201_C,y,Fengyuan
tumor,mice,E3202-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,10,Linchang,Pengli,20200929-16S,结束前,time3,E3202_C,y,Fengyuan
tumor,mice,E3203-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,10,Linchang,Pengli,20200929-16S,结束前,time3,E3203_C,y,Fengyuan
tumor,mice,E3204-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,10,Linchang,Pengli,20200929-16S,结束前,time3,E3204_C,y,Fengyuan
tumor,mice,E3205-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,10,Linchang,Pengli,20200929-16S,结束前,time3,E3205_C,y,Fengyuan
tumor,mice,E3223-C,ONC-2020-038,SP20,GV009201906240mpk,GV009,201906,240,mpk,Female,,,5,2020/9/3,6302 ,BALB/c,10,Linchang,Pengli,20200929-16S,结束前,time3,E3223_C,y,Fengyuan
,mice,D081151,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081152,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081153,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081154,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081155,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081156,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081157,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081158,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081159,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081160,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081161,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081162,SZ-NLL-2020-003,,0DAY; group:C,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081181,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081182,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081183,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081184,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081185,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081186,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081187,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081188,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081189,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081190,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081191,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D081192,SZ-NLL-2020-003,,0DAY; group:US,,,,,,,,,2020/8/11,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082251,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082252,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082253,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082254,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082255,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082256,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082257,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082258,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082259,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082260,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082261,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082262,SZ-NLL-2020-003,,10DAY; group:C,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082281,SZ-NLL-2020-003,,10DAY; group:US,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082282,SZ-NLL-2020-003,,10DAY; group:US,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082283,SZ-NLL-2020-003,,10DAY; group:US,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082284,SZ-NLL-2020-003,,10DAY; group:US,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082285,SZ-NLL-2020-003,,10DAY; group:US,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
,mice,D1082286,SZ-NLL-2020-003,,10DAY; group:US,,,,,,,,,2020/8/22,,,,,,20200929-16S,,,,y,Fengyuan
