Project_category,Species,SampleID,AnimalID,sampleID_origin,Other_ID,Project,Model,Groups,Category,Pre_or_Post,Time,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,RNAseq,RNAseq_lab,Immunity,Path
GV971,mouse,F2_149,F2_149,F2_149,F2_149,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/11/18,NA,NA,2018/1/9,7,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_15,F2_15,F2_15,F2_15,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2016/11/2,NA,NA,2018/1/9,62,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_150,F2_150,F2_150,F2_150,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/11/18,NA,NA,2018/1/9,7,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_151,F2_151,F2_151,F2_151,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/11/18,NA,NA,2018/1/9,7,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_18,F2_18,F2_18,F2_18,Z001,NA,APP/PS1,APP/PS1,Post,NA,Vehicle,NA,0,mpk,Male,2016/11/5,NA,NA,2018/1/9,61,APP/PS1,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_19,F2_19,F2_19,F2_19,Z001,NA,APP/PS1,APP/PS1,Post,NA,Vehicle,NA,0,mpk,Male,2016/11/5,NA,NA,2018/1/9,61,APP/PS1,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_47,F2_47,F2_47,F2_47,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/5/3,NA,NA,2018/1/9,36,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_48,F2_48,F2_48,F2_48,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/5/3,NA,NA,2018/1/9,36,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_49,F2_49,F2_49,F2_49,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/5/3,NA,NA,2018/1/9,36,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_50,F2_50,F2_50,F2_50,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/5/3,NA,NA,2018/1/9,36,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_51,F2_51,F2_51,F2_51,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/5/3,NA,NA,2018/1/9,36,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_54,F2_54,F2_54,F2_54,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/5/3,NA,NA,2018/1/9,36,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_55,F2_55,F2_55,F2_55,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/5/3,NA,NA,2018/1/9,36,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_57,F2_57,F2_57,F2_57,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/5/12,NA,NA,2018/1/9,35,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_58,F2_58,F2_58,F2_58,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/5/12,NA,NA,2018/1/9,35,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_59,F2_59,F2_59,F2_59,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/5/12,NA,NA,2018/1/9,35,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_60,F2_60,F2_60,F2_60,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/5/12,NA,NA,2018/1/9,35,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_80,F2_80,F2_80,F2_80,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/28,NA,NA,2018/1/9,28,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_81,F2_81,F2_81,F2_81,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/28,NA,NA,2018/1/9,28,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_82,F2_82,F2_82,F2_82,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/28,NA,NA,2018/1/9,28,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_85,F2_85,F2_85,F2_85,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/6/28,NA,NA,2018/1/9,28,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_87,F2_87,F2_87,F2_87,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/30,NA,NA,2018/1/9,28,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_88,F2_88,F2_88,F2_88,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/30,NA,NA,2018/1/9,28,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_89,F2_89,F2_89,F2_89,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/30,NA,NA,2018/1/9,28,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_90,F2_90,F2_90,F2_90,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Female,2017/6/30,NA,NA,2018/1/9,28,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_91,F2_91,F2_91,F2_91,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/6/30,NA,NA,2018/1/9,28,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_92,F2_92,F2_92,F2_92,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/6/30,NA,NA,2018/1/9,28,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_93,F2_93,F2_93,F2_93,Z001,NA,WT_Cocage_water,WT Cocage water,Post,NA,Vehicle,NA,0,mpk,Male,2017/6/30,NA,NA,2018/1/9,28,C57BL/6,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,F2_94,F2_94,F2_94,F2_94,Z001,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/6/30,NA,NA,2018/1/9,28,5XFAD,NA,SIMM,SIMM,Z001_5zhuan_different_age_and_partly_shaungzhuan_MJ20171226003-MJ-M-20180110007-yansiyuan-SHZKY--50samples-20180130,5转不同月龄和部分双转,y,Meiji,,,,,,,,
GV971,mouse,B372_2,B372,B372_2,B372_2,supplement6,NA,,ABX,Post,D2,ABX,NA,0,mpk,NA,2017/2/5,NA,NA,2018/2/8,53,5XFAD,NA,GVRI,Bikai,supplement6_MJ20171226003-MJ-M-20180309013-yansiyuan-SHZKY--5samples-20180330,补6只，抗生素后，FMT前,y,Meiji,,,,,,,,
GV971,mouse,B373_2,B373,B373_2,B373_2,supplement6,NA,,ABX,Post,D2,ABX,NA,0,mpk,NA,2017/2/5,NA,NA,2018/2/8,53,5XFAD,NA,GVRI,Bikai,supplement6_MJ20171226003-MJ-M-20180309013-yansiyuan-SHZKY--5samples-20180330,补6只，抗生素后，FMT前,y,Meiji,,,,,,,,
GV971,mouse,B374_2,B374,B374_2,B374_2,supplement6,NA,,ABX,Post,D2,ABX,NA,0,mpk,NA,2017/2/5,NA,NA,2018/2/8,53,5XFAD,NA,GVRI,Bikai,supplement6_MJ20171226003-MJ-M-20180327006-yansiyuan-SHZKY--1samples-20180416,补6只，抗生素后，FMT前,y,Meiji,,,,,,,,
GV971,mouse,B375_2,B375,B375_2,B375_2,supplement6,NA,,ABX,Post,D2,ABX,NA,0,mpk,NA,2017/2/5,NA,NA,2018/2/8,53,5XFAD,NA,GVRI,Bikai,supplement6_MJ20171226003-MJ-M-20180309013-yansiyuan-SHZKY--5samples-20180330,补6只，抗生素后，FMT前,y,Meiji,,,,,,,,
GV971,mouse,B376_2,B376,B376_2,B376_2,supplement6,NA,,ABX,Post,D2,ABX,NA,0,mpk,NA,2017/2/5,NA,NA,2018/2/8,53,5XFAD,NA,GVRI,Bikai,supplement6_MJ20171226003-MJ-M-20180309013-yansiyuan-SHZKY--5samples-20180330,补6只，抗生素后，FMT前,y,Meiji,,,,,,,,
GV971,mouse,B377_2,B377,B377_2,B377_2,supplement6,NA,,ABX,Post,D2,ABX,NA,0,mpk,NA,2017/2/5,NA,NA,2018/2/8,53,5XFAD,NA,GVRI,Bikai,supplement6_MJ20171226003-MJ-M-20180309013-yansiyuan-SHZKY--5samples-20180330,补6只，抗生素后，FMT前,y,Meiji,,,,,,,,
GV971,mouse,A1,A1,A1,A1,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/3/20,NA,NA,2018/1/10,42,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A3,A3,A3,A3,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/3/22,NA,NA,2018/1/10,42,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A4,A4,A4,A4,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/3/20,NA,NA,2018/1/10,42,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A5,A5,A5,A5,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/3/20,NA,NA,2018/1/10,42,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A7,A7,A7,A7,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/3/20,NA,NA,2018/1/10,42,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A8,A8,A8,A8,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/3/25,NA,NA,2018/1/10,42,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A800,A800,A800,A800,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Male,2017/10/6,NA,NA,2018/1/10,14,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A801,A801,A801,A801,two_genes_transfered,NA,WT_water,WT water,Post,NA,Vehicle,NA,0,mpk,Female,2017/9/25,NA,NA,2018/1/10,15,C57BL/6,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A803,A803,A803,A803,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/10/6,NA,NA,2018/1/10,14,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A804,A804,A804,A804,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/10/6,NA,NA,2018/1/10,14,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
GV971,mouse,A805,A805,A805,A805,two_genes_transfered,NA,Tg_water,Tg water,Post,NA,Vehicle,NA,0,mpk,Female,2017/10/6,NA,NA,2018/1/10,14,APP/PS1,NA,GVRI,Bikai,shuangzhuan_different_age_MJ20171226003-MJ-M-20180117009-yansiyuan-SHZKY--22samples-20180213,,y,Meiji,,,,,,,,
