"Project_category","Species","SampleID","Project","Model","Groups","Drug","Drug_batch","Dosage","Dosage_unit","Gender","Birth_date","Arrival_date","Arrival_age_week","Collection_date","Age_week","Strain","Cage_num","Source","Feed_site","Batch1","Comment","Time_Point","Subject_add_X","Bacteria_16s","X16s_lab","Metagenome","Metagenome_lab","Metabolism","Metabolism_lab","Immunity","Path"
"tumor","mice","E464","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E464","y","Meiji","","","","",NA,NA
"tumor","mice","E465","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E465","y","Meiji","","","","",NA,NA
"tumor","mice","E466","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E466","y","Meiji","","","","",NA,NA
"tumor","mice","E467","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E467","y","Meiji","","","","",NA,NA
"tumor","mice","E468","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E468","y","Meiji","","","","",NA,NA
"tumor","mice","E469","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E469","y","Meiji","","","","",NA,NA
"tumor","mice","E470","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E470","y","Meiji","","","","",NA,NA
"tumor","mice","E476","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E476","y","Meiji","","","","",NA,NA
"tumor","mice","E477","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E477","y","Meiji","","","","",NA,NA
"tumor","mice","E478","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E478","y","Meiji","","","","",NA,NA
"tumor","mice","E479","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E479","y","Meiji","","","","",NA,NA
"tumor","mice","E480","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E480","y","Meiji","","","","",NA,NA
"tumor","mice","E481","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E481","y","Meiji","","","","",NA,NA
"tumor","mice","E482","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E482","y","Meiji","","","","",NA,NA
"tumor","mice","E483","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E483","y","Meiji","","","","",NA,NA
"tumor","mice","E484","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E484","y","Meiji","","","","",NA,NA
"tumor","mice","E485","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E485","y","Meiji","","","","",NA,NA
"tumor","mice","E486","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E486","y","Meiji","","","","",NA,NA
"tumor","mice","E487","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E487","y","Meiji","","","","",NA,NA
"tumor","mice","E488","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E488","y","Meiji","","","","",NA,NA
"tumor","mice","E489","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E489","y","Meiji","","","","",NA,NA
"tumor","mice","E490","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E490","y","Meiji","","","","",NA,NA
"tumor","mice","E491","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E491","y","Meiji","","","","",NA,NA
"tumor","mice","E492","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E492","y","Meiji","","","","",NA,NA
"tumor","mice","E493","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E493","y","Meiji","","","","",NA,NA
"tumor","mice","E494","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E494","y","Meiji","","","","",NA,NA
"tumor","mice","E495","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E495","y","Meiji","","","","",NA,NA
"tumor","mice","E496","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E496","y","Meiji","","","","",NA,NA
"tumor","mice","E497","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E497","y","Meiji","","","","",NA,NA
"tumor","mice","E498","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E498","y","Meiji","","","","",NA,NA
"tumor","mice","E499","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E499","y","Meiji","","","","",NA,NA
"tumor","mice","E501","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E501","y","Meiji","","","","",NA,NA
"tumor","mice","E502","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E502","y","Meiji","","","","",NA,NA
"tumor","mice","E503","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E503","y","Meiji","","","","",NA,NA
"tumor","mice","E504","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E504","y","Meiji","","","","",NA,NA
"tumor","mice","E505","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E505","y","Meiji","","","","",NA,NA
"tumor","mice","E506","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E506","y","Meiji","","","","",NA,NA
"tumor","mice","E507","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E507","y","Meiji","","","","",NA,NA
"tumor","mice","E508","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E508","y","Meiji","","","","",NA,NA
"tumor","mice","E509","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E509","y","Meiji","","","","",NA,NA
"tumor","mice","E510","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E510","y","Meiji","","","","",NA,NA
"tumor","mice","E511","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E511","y","Meiji","","","","",NA,NA
"tumor","mice","E512","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E512","y","Meiji","","","","",NA,NA
"tumor","mice","E513","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E513","y","Meiji","","","","",NA,NA
"tumor","mice","E514","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E514","y","Meiji","","","","",NA,NA
"tumor","mice","E515","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E515","y","Meiji","","","","",NA,NA
"tumor","mice","E525","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E525","y","Meiji","","","","",NA,NA
"tumor","mice","14156","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14156","y","Meiji","","","","",NA,NA
"tumor","mice","14157","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14157","y","Meiji","","","","",NA,NA
"tumor","mice","14158","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14158","y","Meiji","","","","",NA,NA
"tumor","mice","14159","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14159","y","Meiji","","","","",NA,NA
"tumor","mice","14160","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14160","y","Meiji","","","","",NA,NA
"tumor","mice","14161","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14161","y","Meiji","","","","",NA,NA
"tumor","mice","14162","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14162","y","Meiji","","","","",NA,NA
"tumor","mice","14163","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14163","y","Meiji","","","","",NA,NA
"tumor","mice","14164","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14164","y","Meiji","","","","",NA,NA
"tumor","mice","14165","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14165","y","Meiji","","","","",NA,NA
"tumor","mice","14251","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14251","y","Meiji","","","","",NA,NA
"tumor","mice","14252","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14252","y","Meiji","","","","",NA,NA
"tumor","mice","14253","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14253","y","Meiji","","","","",NA,NA
"tumor","mice","14254","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14254","y","Meiji","","","","",NA,NA
"tumor","mice","14255","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14255","y","Meiji","","","","",NA,NA
"tumor","mice","14266","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14266","y","Meiji","","","","",NA,NA
"tumor","mice","14267","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14267","y","Meiji","","","","",NA,NA
"tumor","mice","14268","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14268","y","Meiji","","","","",NA,NA
"tumor","mice","14269","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14269","y","Meiji","","","","",NA,NA
"tumor","mice","14270","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14270","y","Meiji","","","","",NA,NA
"tumor","mice","14336","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14336","y","Meiji","","","","",NA,NA
"tumor","mice","14337","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14337","y","Meiji","","","","",NA,NA
"tumor","mice","14338","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14338","y","Meiji","","","","",NA,NA
"tumor","mice","14339","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14339","y","Meiji","","","","",NA,NA
"tumor","mice","14340","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14340","y","Meiji","","","","",NA,NA
"tumor","mice","14346","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","2","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14346","y","Meiji","","","","",NA,NA
