"Project_category","Species","SampleID","Other_ID","Project","Model","Groups","Drug","Drug_batch","Dosage","Dosage_unit","Gender","Birth_date","Arrival_date","Arrival_age_week","Collection_date","Age_week","Strain","Cage_num","Source","Feed_site","Batch1","Comment","Time_Point","Subject_add_X","Bacteria_16s","X16s_lab","Metagenome","Metagenome_lab","Metabolism","Metabolism_lab","Immunity","Path"
"tumor","mice","E461","E461","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E461","y","Meiji","","","","",NA,NA
"tumor","mice","E462","E462","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E462","y","Meiji","","","","",NA,NA
"tumor","mice","E463","E463","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E463","y","Meiji","","","","",NA,NA
"tumor","mice","E464","E464","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E464","y","Meiji","","","","",NA,NA
"tumor","mice","E465","E465","ONC-2019-GL-008","SP20","","GV009","","250","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E465","y","Meiji","","","","",NA,NA
"tumor","mice","E466","E466","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E466","y","Meiji","","","","",NA,NA
"tumor","mice","E467","E467","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E467","y","Meiji","","","","",NA,NA
"tumor","mice","E468","E468","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E468","y","Meiji","","","","",NA,NA
"tumor","mice","E469","E469","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E469","y","Meiji","","","","",NA,NA
"tumor","mice","E470","E470","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E470","y","Meiji","","","","",NA,NA
"tumor","mice","E476","E476","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E476","y","Meiji","","","","",NA,NA
"tumor","mice","E477","E477","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E477","y","Meiji","","","","",NA,NA
"tumor","mice","E478","E478","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E478","y","Meiji","","","","",NA,NA
"tumor","mice","E479","E479","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E479","y","Meiji","","","","",NA,NA
"tumor","mice","E480","E480","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E480","y","Meiji","","","","",NA,NA
"tumor","mice","E481","E481","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E481","y","Meiji","","","","",NA,NA
"tumor","mice","E482","E482","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E482","y","Meiji","","","","",NA,NA
"tumor","mice","E483","E483","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E483","y","Meiji","","","","",NA,NA
"tumor","mice","E484","E484","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E484","y","Meiji","","","","",NA,NA
"tumor","mice","E485","E485","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E485","y","Meiji","","","","",NA,NA
"tumor","mice","E486","E486","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E486","y","Meiji","","","","",NA,NA
"tumor","mice","E487","E487","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E487","y","Meiji","","","","",NA,NA
"tumor","mice","E488","E488","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E488","y","Meiji","","","","",NA,NA
"tumor","mice","E489","E489","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E489","y","Meiji","","","","",NA,NA
"tumor","mice","E490","E490","ONC-2019-GL-008","SP20","","GV009","","125","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E490","y","Meiji","","","","",NA,NA
"tumor","mice","E491","E491","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E491","y","Meiji","","","","",NA,NA
"tumor","mice","E492","E492","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E492","y","Meiji","","","","",NA,NA
"tumor","mice","E493","E493","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E493","y","Meiji","","","","",NA,NA
"tumor","mice","E494","E494","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E494","y","Meiji","","","","",NA,NA
"tumor","mice","E495","E495","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E495","y","Meiji","","","","",NA,NA
"tumor","mice","E496","E496","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E496","y","Meiji","","","","",NA,NA
"tumor","mice","E497","E497","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E497","y","Meiji","","","","",NA,NA
"tumor","mice","E498","E498","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E498","y","Meiji","","","","",NA,NA
"tumor","mice","E499","E499","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E499","y","Meiji","","","","",NA,NA
"tumor","mice","E501","E501","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E501","y","Meiji","","","","",NA,NA
"tumor","mice","E502","E502","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E502","y","Meiji","","","","",NA,NA
"tumor","mice","E503","E503","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E503","y","Meiji","","","","",NA,NA
"tumor","mice","E504","E504","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E504","y","Meiji","","","","",NA,NA
"tumor","mice","E505","E505","ONC-2019-GL-008","SP20","","GV009","","500","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E505","y","Meiji","","","","",NA,NA
"tumor","mice","E506","E506","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E506","y","Meiji","","","","",NA,NA
"tumor","mice","E507","E507","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E507","y","Meiji","","","","",NA,NA
"tumor","mice","E508","E508","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E508","y","Meiji","","","","",NA,NA
"tumor","mice","E509","E509","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E509","y","Meiji","","","","",NA,NA
"tumor","mice","E510","E510","ONC-2019-GL-008","SP20","","Vehicle","","0","","Female","","",5,"2019/8/26",NA,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E510","y","Meiji","","","","",NA,NA
"tumor","mice","E511","E511","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E511","y","Meiji","","","","",NA,NA
"tumor","mice","E512","E512","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E512","y","Meiji","","","","",NA,NA
"tumor","mice","E513","E513","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E513","y","Meiji","","","","",NA,NA
"tumor","mice","E514","E514","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E514","y","Meiji","","","","",NA,NA
"tumor","mice","E515","E515","ONC-2019-GL-008","SP20","","GV009","","31.25","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E515","y","Meiji","","","","",NA,NA
"tumor","mice","E525","E525","ONC-2019-GL-008","SP20","","GV009","","62.5","mpk","Female","","",5,"2019/8/26",NA,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","","E525","y","Meiji","","","","",NA,NA
"tumor","mice","14156","14156","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14156","y","Meiji","","","","",NA,NA
"tumor","mice","14157","14157","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14157","y","Meiji","","","","",NA,NA
"tumor","mice","14158","14158","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14158","y","Meiji","","","","",NA,NA
"tumor","mice","14159","14159","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14159","y","Meiji","","","","",NA,NA
"tumor","mice","14160","14160","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","3","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14160","y","Meiji","","","","",NA,NA
"tumor","mice","14161","14161","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14161","y","Meiji","","","","",NA,NA
"tumor","mice","14162","14162","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14162","y","Meiji","","","","",NA,NA
"tumor","mice","14163","14163","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14163","y","Meiji","","","","",NA,NA
"tumor","mice","14164","14164","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14164","y","Meiji","","","","",NA,NA
"tumor","mice","14165","14165","ONC-2019-LZ-009","MMTV","","Vehicle","","0","","Female","","",5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14165","y","Meiji","","","","",NA,NA
"tumor","mice","14251","14251","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14251","y","Meiji","","","","",NA,NA
"tumor","mice","14252","14252","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14252","y","Meiji","","","","",NA,NA
"tumor","mice","14253","14253","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14253","y","Meiji","","","","",NA,NA
"tumor","mice","14254","14254","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14254","y","Meiji","","","","",NA,NA
"tumor","mice","14255","14255","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14255","y","Meiji","","","","",NA,NA
"tumor","mice","14266","14266","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14266","y","Meiji","","","","",NA,NA
"tumor","mice","14267","14267","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14267","y","Meiji","","","","",NA,NA
"tumor","mice","14268","14268","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14268","y","Meiji","","","","",NA,NA
"tumor","mice","14269","14269","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14269","y","Meiji","","","","",NA,NA
"tumor","mice","14270","14270","ONC-2019-LZ-009","MMTV","","GV007","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","4","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14270","y","Meiji","","","","",NA,NA
"tumor","mice","14336","14336","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14336","y","Meiji","","","","",NA,NA
"tumor","mice","14337","14337","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14337","y","Meiji","","","","",NA,NA
"tumor","mice","14338","14338","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14338","y","Meiji","","","","",NA,NA
"tumor","mice","14339","14339","ONC-2019-LZ-009","MMTV","","GV009","","125","mpk","Female","","",5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","","X14339","y","Meiji","","","","",NA,NA
