"Project_category","Species","SampleID","sampleID_origin","Other_ID","Project","Model","Groups","Category","Pre_or_Post","Time","Drug","Drug_batch","Dosage","Dosage_unit","Gender","Birth_date","Arrival_date","Arrival_age_week","Collection_date","Age_week","Strain","Cage_num","Source","Feed_site","Batch1","Comment","Bacteria_16s","X16s_lab","Metagenome","Metagenome_lab","Metabolism","Metabolism_lab","Immunity","Path"
"GV009","mouse","E463","E463","E463","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E464","E464","E464","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E465","E465","E465","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"250","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","9","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E466","E466","E466","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E467","E467","E467","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E468","E468","E468","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E469","E469","E469","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E470","E470","E470","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","5","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E476","E476","E476","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E477","E477","E477","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E478","E478","E478","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E479","E479","E479","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E480","E480","E480","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","1","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E481","E481","E481","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E482","E482","E482","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E483","E483","E483","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E484","E484","E484","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E485","E485","E485","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","11","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E486","E486","E486","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E487","E487","E487","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E488","E488","E488","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E489","E489","E489","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E490","E490","E490","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"125","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","7","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E491","E491","E491","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E492","E492","E492","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E493","E493","E493","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E494","E494","E494","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E495","E495","E495","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","4","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E496","E496","E496","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E497","E497","E497","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E498","E498","E498","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E499","E499","E499","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E501","E501","E501","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E502","E502","E502","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E503","E503","E503","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E504","E504","E504","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E505","E505","E505","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"500","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","12","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E506","E506","E506","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E507","E507","E507","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E508","E508","E508","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E509","E509","E509","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E510","E510","E510","ONC-2019-GL-008","SP20","","Vehicle","post","D20","Vehicle",NA,"0","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","2","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E511","E511","E511","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E512","E512","E512","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E513","E513","E513","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E514","E514","E514","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E515","E515","E515","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"31.25","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","3","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","E525","E525","E525","ONC-2019-GL-008","SP20","","GV009","post","D20","GV009",NA,"62.5","mpk","Female",NA,"2019/8/2",5,"2019/8/26",8,"BALB/c","6","Lingchang","Pengli","ONC-2019-GL-008_MJ20190627044-MJ-M-20191008047-yansiyuan-ZHONGKEYUANSHANGHAI60samples-20191104","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14161","14161","14161","ONC-2019-LZ-009","MMTV","","Vehicle","post","D26","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14162","14162","14162","ONC-2019-LZ-009","MMTV","","Vehicle","post","D26","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14163","14163","14163","ONC-2019-LZ-009","MMTV","","Vehicle","post","D26","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14164","14164","14164","ONC-2019-LZ-009","MMTV","","Vehicle","post","D26","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14165","14165","14165","ONC-2019-LZ-009","MMTV","","Vehicle","post","D26","Vehicle",NA,"0","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","1","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14251","14251","14251","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14252","14252","14252","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14253","14253","14253","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14254","14254","14254","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14255","14255","14255","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","8","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14336","14336","14336","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14337","14337","14337","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14338","14338","14338","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
"GV009","mouse","X14339","14339","14339","ONC-2019-LZ-009","MMTV","","GV009","post","D26","GV009",NA,"125","mpk","Female",NA,NA,5,"2019/6/12",NA,"FVB","7","CharlesRiver","Pengli","ONC-2019-LZ-009_MJ20190627044ONC2019LZ009_MJ-M-20190701062_30samples","","y","Meiji","","","","",NA,NA
