Project_category,SampleID,SampleID-AD,Project,Source,Sample_type,Groups,Disease_type,Batch1,Batch2,Comment,Preservation,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path,Nmr,Sample_facs
971,LD201805_001,LD201805-001,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_001,y,Meiji,,,,,,,,
971,LD201805_139,LD201805-139,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_139,y,Meiji,,,,,,,,
971,LD201805_174,LD201805-174,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_174,y,Meiji,,,,,,,,
971,LD201805_360,LD201805-360,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_360,y,Meiji,,,,,,,,
971,LD201805_006,LD201805-006,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_006,y,Meiji,,,,,,,,
971,LD201805_011,LD201805-011,H01,Beijin,Feces,,Healthy,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_011,y,Meiji,,,,,,,,
971,LD201805_017,LD201805-017,H01,Beijin,Feces,,Healthy,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_017,y,Meiji,,,,,,,,
971,LD201805_040,LD201805-040,H01,Beijin,Feces,,Healthy,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_040,y,Meiji,,,,,,,,
971,LD201805_098,LD201805-098,H01,Beijin,Feces,,Sick,H01_MJ20171226003-MJ-M-20180621015-严思远-中国科学院上海药物研究所-微生物多样性-19个样本-BJLD01-20180716,,,GV_self_made_liquid,LD201805_098,y,Meiji,,,,,,,,
971,MCI_2018_01,MCI-2018-01,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_01,y,Meiji,,,,,,,,
971,MCI_2018_02,MCI-2018-02,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_02,y,Meiji,,,,,,,,
971,MCI_2018_03,MCI-2018-03,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_03,y,Meiji,,,,,,,,
971,MCI_2018_04,MCI-2018-04,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_04,y,Meiji,,,,,,,,
971,MCI_2018_05,MCI-2018-05,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_05,y,Meiji,,,,,,,,
971,MCI_2018_06,MCI-2018-06,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_06,y,Meiji,,,,,,,,
971,MCI_2018_07,MCI-2018-07,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_07,y,Meiji,,,,,,,,
971,MCI_2018_08,MCI-2018-08,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_08,y,Meiji,,,,,,,,
971,MCI_2018_09,MCI-2018-09,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_09,y,Meiji,,,,,,,,
971,MCI_2018_10,MCI-2018-10,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_10,y,Meiji,,,,,,,,
971,MCI_2018_12,MCI-2018-12,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_12,y,Meiji,,,,,,,,
971,MCI_2018_14,MCI-2018-14,H02,Jinwei,Feces,MCI,MCI,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_14,y,Meiji,,,,,,,,
971,AD_2018_02,AD-2018-02,H02,Jinwei,Feces,AD,AD,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,AD病人,GV_self_made_liquid,AD_2018_02,y,Meiji,,,,,,,,
971,AD_2018_03,AD-2018-03,H02,Jinwei,Feces,AD,AD,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,AD病人,GV_self_made_liquid,AD_2018_03,y,Meiji,,,,,,,,
971,NC_2018_03,NC-2018-03,H02,Jinwei,Feces,HC,Control,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,,GV_self_made_liquid,NC_2018_03,y,Meiji,,,,,,,,
971,NC_2018_05,NC-2018-05,H02,Jinwei,Feces,HC,Control,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,,GV_self_made_liquid,NC_2018_05,y,Meiji,,,,,,,,
971,K201806_002,K201806-002,H02,Jiuyuan,Feces,K,,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,口腔病人的粪便样本,RNAlater,K201806_002,y,Meiji,,,,,,,,
971,K201806_005,K201806-005,H02,Jiuyuan,Feces,K,,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,口腔病人的粪便样本,RNAlater,K201806_005,y,Meiji,,,,,,,,
971,K201806_001,K201806-001,H02,Jiuyuan,Feces,K,,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,口腔病人的粪便样本,RNAlater,K201806_001,y,Meiji,,,,,,,,
971,K201806_006,K201806-006,H02,Jiuyuan,Feces,K,,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,口腔病人的粪便样本,RNAlater,K201806_006,y,Meiji,,,,,,,,
971,K201806_043,K201806-043,H02,Jiuyuan,Feces,K,,H02_MJ20171226003-MJ-M-20180718020-严思远-中国科学院上海药物研究所-微生物多样性-21个样本-H01-20180808,,口腔病人的粪便样本,RNAlater,K201806_043,y,Meiji,,,,,,,,
971,k201806_002_above,k201806-002-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_002_above,y,Meiji,,,,,,,,
971,k201806_005_above,k201806-005-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_005_above,y,Meiji,,,,,,,,
971,k201806_001_above,k201806-001-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_001_above,y,Meiji,,,,,,,,
971,k201806_003_above,k201806-003-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_003_above,y,Meiji,,,,,,,,
971,k201806_004_above,k201806-004-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_004_above,y,Meiji,,,,,,,,
971,k201806_006_above,k201806-006-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_006_above,y,Meiji,,,,,,,,
971,k201806_007_above,k201806-007-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_007_above,y,Meiji,,,,,,,,
971,k201806_048_above,k201806-048-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_048_above,y,Meiji,,,,,,,,
971,k201806_018_above,k201806-018-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_018_above,y,Meiji,,,,,,,,
971,k201806_029_above,k201806-029-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_029_above,y,Meiji,,,,,,,,
971,k201806_033_above,k201806-033-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_033_above,y,Meiji,,,,,,,,
971,k201806_028_above,k201806-028-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_028_above,y,Meiji,,,,,,,,
971,k201806_030_above,k201806-030-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_030_above,y,Meiji,,,,,,,,
971,k201806_043_above,k201806-043-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_043_above,y,Meiji,,,,,,,,
971,k201806_044_above,k201806-044-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_044_above,y,Meiji,,,,,,,,
971,k201806_009_above,k201806-009-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_009_above,y,Meiji,,,,,,,,
971,k201806_012_above,k201806-012-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_012_above,y,Meiji,,,,,,,,
971,k201806_046_above,k201806-046-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_046_above,y,Meiji,,,,,,,,
971,k201806_049_above,k201806-049-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_049_above,y,Meiji,,,,,,,,
971,k201806_050_above,k201806-050-above,H03,Jiuyuan,Dental_plaque,plaque_above,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的上牙菌斑_above,RNAlater,k201806_050_above,y,Meiji,,,,,,,,
971,k201806_002_under,k201806-002-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_002_under,y,Meiji,,,,,,,,
971,k201806_005_under,k201806-005-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_005_under,y,Meiji,,,,,,,,
971,k201806_001_under,k201806-001-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_001_under,y,Meiji,,,,,,,,
971,k201806_003_under,k201806-003-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_003_under,y,Meiji,,,,,,,,
971,k201806_004_under,k201806-004-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_004_under,y,Meiji,,,,,,,,
971,k201806_006_under,k201806-006-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_006_under,y,Meiji,,,,,,,,
971,k201806_007_under,k201806-007-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_007_under,y,Meiji,,,,,,,,
971,k201806_048_under,k201806-048-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_048_under,y,Meiji,,,,,,,,
971,k201806_018_under,k201806-018-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_018_under,y,Meiji,,,,,,,,
971,k201806_029_under,k201806-029-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_029_under,y,Meiji,,,,,,,,
971,k201806_033_under,k201806-033-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_033_under,y,Meiji,,,,,,,,
971,k201806_028_under,k201806-028-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_028_under,y,Meiji,,,,,,,,
971,k201806_030_under,k201806-030-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_030_under,y,Meiji,,,,,,,,
971,k201806_043_under,k201806-043-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_043_under,y,Meiji,,,,,,,,
971,k201806_044_under,k201806-044-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_044_under,y,Meiji,,,,,,,,
971,k201806_009_under,k201806-009-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_009_under,y,Meiji,,,,,,,,
971,k201806_012_under,k201806-012-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_012_under,y,Meiji,,,,,,,,
971,k201806_046_under,k201806-046-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_046_under,y,Meiji,,,,,,,,
971,k201806_049_under,k201806-049-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_049_under,y,Meiji,,,,,,,,
971,k201806_050_under,k201806-050-under,H03,Jiuyuan,Dental_plaque,plaque_under,,H03_MJ20171226003-MJ-M-20180731022-严思远-中国科学院上海药物研究所-微生物多样性-40个样本-H03-20180827,,口腔病人的下牙菌斑_under,RNAlater,k201806_050_under,y,Meiji,,,,,,,,
971,AD_2018_01,AD-2018-01,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_01,y,Meiji,,,,,,,,
971,AD_2018_04,AD-2018-04,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_04,y,Meiji,,,,,,,,
971,AD_2018_05,AD-2018-05,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_05,y,Meiji,,,,,,,,
971,AD_2018_06,AD-2018-06,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_06,y,Meiji,,,,,,,,
971,AD_2018_08,AD-2018-08,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_08,y,Meiji,,,,,,,,
971,AD_2018_09,AD-2018-09,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_09,y,Meiji,,,,,,,,
971,AD_2018_10,AD-2018-10,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_10,y,Meiji,,,,,,,,
971,AD_2018_11,AD-2018-11,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_11,y,Meiji,,,,,,,,
971,AD_2018_12,AD-2018-12,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_12,y,Meiji,,,,,,,,
971,AD_2018_13,AD-2018-13,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_13,y,Meiji,,,,,,,,
971,AD_2018_14,AD-2018-14,H04,Jinwei,Feces,AD,AD,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,AD病人,GV_self_made_liquid,AD_2018_14,y,Meiji,,,,,,,,
971,MCI_2018_15,MCI-2018-15,H04,Jinwei,Feces,MCI,MCI,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,中度记忆障碍病人,GV_self_made_liquid,MCI_2018_15,y,Meiji,,,,,,,,
971,NC_2018_01,NC-2018-01,H04,Jinwei,Feces,HC,Control,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,,GV_self_made_liquid,NC_2018_01,y,Meiji,,,,,,,,
971,NC_2018_02,NC-2018-02,H04,Jinwei,Feces,HC,Control,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,,GV_self_made_liquid,NC_2018_02,y,Meiji,,,,,,,,
971,NC_2018_04,NC-2018-04,H04,Jinwei,Feces,HC,Control,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,,GV_self_made_liquid,NC_2018_04,y,Meiji,,,,,,,,
971,NC_2018_07,NC-2018-07,H04,Jinwei,Feces,HC,Control,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,,GV_self_made_liquid,NC_2018_07,y,Meiji,,,,,,,,
971,NC_2018_08,NC-2018-08,H04,Jinwei,Feces,HC,Control,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,,GV_self_made_liquid,NC_2018_08,y,Meiji,,,,,,,,
971,NC_2018_09,NC-2018-09,H04,Jinwei,Feces,HC,Control,H04_MJ20171226003-MJ-M-20180801016-严思远-中国科学院上海药物研究所-微生物多样性-30个样本-H04-20180827,,,GV_self_made_liquid,NC_2018_09,y,Meiji,,,,,,,,
